rank,word,freq,reason,subtype,all_reasons,engine_ipa,engine_guess,candidates,question,verdict
160,אהין,161,alef-default,alef-vowel,alef-default,ahˈin,aHIn,aHIn | Uhin,the unpointed א: aHIn (a as in 'father') or Uhin (u as in 'put')? — or an o (o as in 'law')?,
161,אויבערשטער,161,alef-default,alef-silent,alef-default,ˈɔjbərʃtər,OYbershter,,we say **OYbershter** — right?,
162,פירן,161,pe-default,pe-default,pe-default,firn,firn,firn | pirn,the פ: f (firn) or p (pirn)?,
163,דאכט,160,alef-default,alef-vowel,alef-default,daxt,dakht,dakht | dukht,the unpointed א: dakht (a as in 'father') or dukht (u as in 'put')? — or an o (o as in 'law')?,
164,או,159,alef-default,alef-silent,alef-default,i,i,,we say **i** — right?,
165,מוראדיקער,157,alef-default,alef-vowel,alef-default,mˈiradikər,MIradiker,MIradiker | MIrudiker,the unpointed א: MIradiker (a as in 'father') or MIrudiker (u as in 'put')? — or an o (o as in 'law')?,
166,אהער,156,alef-default,alef-vowel,alef-default,ahˈɛr,aHEr,aHEr | Uher,the unpointed א: aHEr (a as in 'father') or Uher (u as in 'put')? — or an o (o as in 'law')?,
167,געוואלדיגע,156,alef-default,alef-vowel,alef-default,ɡəvˈaldiɡə,geVAldige,geVAldige | geVUldige,the unpointed א: geVAldige (a as in 'father') or geVUldige (u as in 'put')? — or an o (o as in 'law')?,
168,קדושת,155,oov-lk,oov-lk,lk-fallback,kdiʃs,kdishs,kdishs | kedishes,our guess: kdishs — or kedishes? How do you say it?,
169,שליח,154,oov-lk,oov-lk,lk-fallback,ʃlix,shlikh,shlikh | shelikh,our guess: shlikh — or shelikh? How do you say it?,
170,אט,153,alef-default,alef-vowel,alef-default,at,at,at | ut,the unpointed א: at (a as in 'father') or ut (u as in 'put')? — or an o (o as in 'law')?,
171,מדרגה,153,oov-lk,oov-lk,lk-fallback,mdrɡə,mdrge,mdrge | mederege,our guess: mdrge — or mederege? How do you say it?,
172,געוואלד,152,alef-default,alef-vowel,alef-default,ɡəvˈald,geVAld,geVAld | geVUld,the unpointed א: geVAld (a as in 'father') or geVUld (u as in 'put')? — or an o (o as in 'law')?,
173,ווארטן,152,alef-default,alef-vowel,alef-default,vartn,vartn,vartn | vurtn,the unpointed א: vartn (a as in 'father') or vurtn (u as in 'put')? — or an o (o as in 'law')?,
174,מאמין,152,alef-default,alef-vowel,alef-default,mˈamin,MAmin,MAmin | MUmin,the unpointed א: MAmin (a as in 'father') or MUmin (u as in 'put')? — or an o (o as in 'law')?,
175,פרי,151,pe-default,pe-default,pe-default,fri,fri,fri | pri,the פ: f (fri) or p (pri)?,
176,געפאלן,150,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ɡəfˈaln,geFAln,geFAln | geFUln | gePAln,the unpointed א: geFAln (a as in 'father') or geFUln (u as in 'put')? — or an o (o as in 'law')? the פ: f (geFAln) or p (gePAln)?,
177,אופן,148,pe-default,pe-default,"alef-default,pe-default",ifn,ifn,ifn | ipn,the פ: f (ifn) or p (ipn)?,
178,כדאי,148,alef-default,alef-vowel,alef-default,xdaː,khda,khda | khduy,the unpointed א: khda (a as in 'father') or khduy (u as in 'put')? — or an o (o as in 'law')?,
179,אלה,147,alef-default,alef-vowel,alef-default,ˈalə,Ale,Ale | Ule,the unpointed א: Ale (a as in 'father') or Ule (u as in 'put')? — or an o (o as in 'law')?,
180,געפילט,147,pe-default,pe-default,pe-default,ɡəfˈilt,geFIlt,geFIlt | gePIlt,the פ: f (geFIlt) or p (gePIlt)?,
181,שייכות,147,oov-lk,oov-lk,lk-fallback,ʃˈajxis,SHAYkhis,SHAYkhis | shaykhis,our guess: SHAYkhis — or shaykhis? How do you say it?,
182,טראכטן,146,alef-default,alef-vowel,alef-default,traxtn,trakhtn,trakhtn | trukhtn,the unpointed א: trakhtn (a as in 'father') or trukhtn (u as in 'put')? — or an o (o as in 'law')?,
183,לאז,146,alef-default,alef-vowel,alef-default,laz,laz,laz | luz,the unpointed א: laz (a as in 'father') or luz (u as in 'put')? — or an o (o as in 'law')?,
184,עקיבא,146,alef-default,alef-final,alef-default,ˈɛkiba,Ekiba,Ekibe | Ekiba | Ekibu | Ekib,"the א at the end: Ekibe (…-e), Ekiba (…-a), Ekibu (…-u) — or silent (Ekib)?",
185,אנגערופן,145,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ˈanɡərifn,Angerifn,Angerifn | Ungerifn | Angeripn,the unpointed א: Angerifn (a as in 'father') or Ungerifn (u as in 'put')? — or an o (o as in 'law')? the פ: f (Angerifn) or p (Angeripn)?,
186,באשאפן,145,alef-default,alef-vowel+pe-default,"alef-default,pe-default",baʃˈafn,baSHAfn,baSHAfn | BUshufn | baSHApn,the unpointed א: baSHAfn (a as in 'father') or BUshufn (u as in 'put')? — or an o (o as in 'law')? the פ: f (baSHAfn) or p (baSHApn)?,
187,תירוץ,145,oov-lk,oov-lk,lk-fallback,sˈiriʦ,SIrits,SIrits | sirits,our guess: SIrits — or sirits? How do you say it?,
188,געשמאקע,143,alef-default,alef-vowel,alef-default,ɡəʃmˈakə,geSHMAke,geSHMAke | geSHMUke,the unpointed א: geSHMAke (a as in 'father') or geSHMUke (u as in 'put')? — or an o (o as in 'law')?,
189,געוואוינט,142,alef-default,alef-vowel,alef-default,ɡəvˈɔjnt,geVOYnt,geVAOYnt | geVUOYnt,the unpointed א: geVAOYnt (a as in 'father') or geVUOYnt (u as in 'put')? — or an o (o as in 'law')?,
190,חיזוק,142,oov-lk,oov-lk,lk-fallback,xˈizik,KHIzik,KHIzik | khizik,our guess: KHIzik — or khizik? How do you say it?,
191,מתן,142,oov-lk,oov-lk,lk-fallback,msn,msn,msn | mesen,our guess: msn — or mesen? How do you say it?,
192,אמר,140,alef-default,alef-vowel,alef-default,amr,amr,amr | umr,the unpointed א: amr (a as in 'father') or umr (u as in 'put')? — or an o (o as in 'law')?,
193,אלעמאל,139,alef-default,alef-vowel,alef-default,ˈaləmal,Alemal,Alemal | Ulemul,the unpointed א: Alemal (a as in 'father') or Ulemul (u as in 'put')? — or an o (o as in 'law')?,
194,גאס,138,alef-default,alef-vowel,alef-default,ɡas,gas,gas | gus,the unpointed א: gas (a as in 'father') or gus (u as in 'put')? — or an o (o as in 'law')?,
195,פעלט,138,pe-default,pe-default,pe-default,fɛlt,felt,felt | pelt,the פ: f (felt) or p (pelt)?,
196,איידער,137,alef-default,alef-silent,alef-default,ˈajdər,AYder,,we say **AYder** — right?,
197,אייניקלעך,137,alef-default,alef-silent,alef-default,ˈajnikləx,AYniklekh,,we say **AYniklekh** — right?,
198,בארג,137,alef-default,alef-vowel,alef-default,barɡ,barg,barg | burg,the unpointed א: barg (a as in 'father') or burg (u as in 'put')? — or an o (o as in 'law')?,
199,היא,137,alef-default,alef-final,alef-default,hˈia,HIA,hie | hia | hiu | hi,"the א at the end: hie (…-e), hia (…-a), hiu (…-u) — or silent (hi)?",
200,לויפט,137,pe-default,pe-default,pe-default,lɔjft,loyft,loyft | loypt,the פ: f (loyft) or p (loypt)?,
201,באם,136,alef-default,alef-vowel,alef-default,bam,bam,bam | bum,the unpointed א: bam (a as in 'father') or bum (u as in 'put')? — or an o (o as in 'law')?,
202,גימטריא,136,alef-default,alef-final,alef-default,ɡˈimtria,GImtria,GImtrie | GImtria | GImtriu | GImtri,"the א at the end: GImtrie (…-e), GImtria (…-a), GImtriu (…-u) — or silent (GImtri)?",
203,וירא,136,alef-default,alef-final,alef-default,ˈɔjra,OYra,oyre | oyra | oyru | oyr,"the א at the end: oyre (…-e), oyra (…-a), oyru (…-u) — or silent (oyr)?",
204,מאי,136,alef-default,alef-vowel,alef-default,maː,ma,ma | muy,the unpointed א: ma (a as in 'father') or muy (u as in 'put')? — or an o (o as in 'law')?,
205,אויערן,135,alef-default,alef-silent,alef-default,ˈɔjərn,OYErn,,we say **OYErn** — right?,
206,ישמח,135,oov-lk,oov-lk,lk-fallback,iʃmx,ishmkh,ishmkh | ishemekh,our guess: ishmkh — or ishemekh? How do you say it?,
207,דאי,134,alef-default,alef-vowel,alef-default,daː,da,da | duy,the unpointed א: da (a as in 'father') or duy (u as in 'put')? — or an o (o as in 'law')?,
208,רא,134,alef-default,alef-final,alef-default,ra,ra,re | ra | ru,"the א at the end: re (…-e), ra (…-a), ru (…-u) — or silent (ra)?",
209,פילט,132,pe-default,pe-default,pe-default,filt,filt,filt | pilt,the פ: f (filt) or p (pilt)?,
210,פארשטייסט,131,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farʃtˈajst,faRSHTAYst,faRSHTAYst | FUrshtayst | PArshtayst,the unpointed א: faRSHTAYst (a as in 'father') or FUrshtayst (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRSHTAYst) or p (PArshtayst)?,
211,געראטעוועט,130,alef-default,alef-vowel,alef-default,ɡərˈatəvət,geRAtevet,geRAtevet | geRUtevet,the unpointed א: geRAtevet (a as in 'father') or geRUtevet (u as in 'put')? — or an o (o as in 'law')?,
212,ווארים,130,alef-default,alef-vowel,alef-default,vˈarim,VArim,VArim | VUrim,the unpointed א: VArim (a as in 'father') or VUrim (u as in 'put')? — or an o (o as in 'law')?,
213,פינקטלעך,130,pe-default,pe-default,pe-default,fˈinktləx,FInktlekh,FInktlekh | PInktlekh,the פ: f (FInktlekh) or p (PInktlekh)?,
214,פרויען,130,pe-default,pe-default,pe-default,frˈɔjən,FROYEn,FROYEn | PROYEn,the פ: f (FROYEn) or p (PROYEn)?,
215,תיקון,130,oov-lk,oov-lk,lk-fallback,sˈikin,SIkin,SIkin | sikin,our guess: SIkin — or sikin? How do you say it?,
216,כאילו,129,alef-default,alef-vowel,alef-default,xˈaːli,KHAli,KHAli | KHUYli,the unpointed א: KHAli (a as in 'father') or KHUYli (u as in 'put')? — or an o (o as in 'law')?,
217,אונטן,127,alef-default,alef-silent,alef-default,intn,intn,,we say **intn** — right?,
218,אפן,127,alef-default,alef-vowel+pe-default,"alef-default,pe-default",afn,afn,afn | ufn | apn,the unpointed א: afn (a as in 'father') or ufn (u as in 'put')? — or an o (o as in 'law')? the פ: f (afn) or p (apn)?,
219,פארקויפט,127,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farkˈɔjft,faRKOYft,faRKOYft | FUrkoyft | PArkoypt,the unpointed א: faRKOYft (a as in 'father') or FUrkoyft (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRKOYft) or p (PArkoypt)?,
220,רפואה,127,alef-default,alef-vowel+pe-default,"alef-default,pe-default",rfˈia,RFIA,RFIA | RPIA,"the unpointed א — a, u or o? the פ: f (RFIA) or p (RPIA)?",
221,אייבערשטנס,126,alef-default,alef-silent,"alef-default,vowel-ratio",ˈajbərʃtns,AYbershtns,,we say **AYbershtns** — right?,
222,חוזק,126,oov-lk,oov-lk,lk-fallback,xizk,khizk,khizk | khizek,our guess: khizk — or khizek? How do you say it?,
223,מאריך,126,alef-default,alef-vowel,alef-default,mˈarix,MArikh,MArikh | MUrikh,the unpointed א: MArikh (a as in 'father') or MUrikh (u as in 'put')? — or an o (o as in 'law')?,
224,ראפשיצער,126,alef-default,alef-vowel+pe-default,"alef-default,pe-default",rˈafʃiʦər,RAfshitser,RAfshitser | RUfshitser | RApshitser,the unpointed א: RAfshitser (a as in 'father') or RUfshitser (u as in 'put')? — or an o (o as in 'law')? the פ: f (RAfshitser) or p (RApshitser)?,
225,אויכעט,125,alef-default,alef-silent,alef-default,ˈɔjxət,OYkhet,,we say **OYkhet** — right?,
226,באהאלטן,125,alef-default,alef-vowel,alef-default,bahˈaltn,baHAltn,baHAltn | BUhultn,the unpointed א: baHAltn (a as in 'father') or BUhultn (u as in 'put')? — or an o (o as in 'law')?,
227,אלזא,124,alef-default,alef-vowel+alef-final,alef-default,ˈalza,Alza,Alza | Ulza | alze | alza | alzu | alz,"the unpointed א: Alza (a as in 'father') or Ulza (u as in 'put')? — or an o (o as in 'law')? the א at the end: alze (…-e), alza (…-a), alzu (…-u) — or silent (alz)?",
228,טאכטער,124,alef-default,alef-vowel,alef-default,tˈaxtər,TAkhter,TAkhter | TUkhter,the unpointed א: TAkhter (a as in 'father') or TUkhter (u as in 'put')? — or an o (o as in 'law')?,
229,שטארבן,124,alef-default,alef-vowel,alef-default,ʃtarbn,shtarbn,shtarbn | shturbn,the unpointed א: shtarbn (a as in 'father') or shturbn (u as in 'put')? — or an o (o as in 'law')?,
230,בורא,123,alef-default,alef-final,alef-default,bˈira,BIra,bire | bira | biru | bir,"the א at the end: bire (…-e), bira (…-a), biru (…-u) — or silent (bir)?",
231,פריילעך,123,pe-default,pe-default,pe-default,frˈajləx,FRAYlekh,FRAYlekh | PRAYlekh,the פ: f (FRAYlekh) or p (PRAYlekh)?,
232,אמן,122,alef-default,alef-vowel,alef-default,amn,amn,amn | umn,the unpointed א: amn (a as in 'father') or umn (u as in 'put')? — or an o (o as in 'law')?,
233,ארויסגעגעבן,122,alef-default,alef-vowel,alef-default,arˈoʊzɡəɡəbn,aROUzgegebn,aROUzgegebn | Uroyzgegebn,the unpointed א: aROUzgegebn (a as in 'father') or Uroyzgegebn (u as in 'put')? — or an o (o as in 'law')?,
234,אריינגעלייגט,122,alef-default,alef-vowel,alef-default,arˈaːnɡəlajɡt,aRAngelaygt,aRAngelaygt | Urayngelaygt,the unpointed א: aRAngelaygt (a as in 'father') or Urayngelaygt (u as in 'put')? — or an o (o as in 'law')?,
235,זלמן,122,oov-lk,oov-lk,lk-fallback,zlmn,zlmn,zlmn | zelemen,our guess: zlmn — or zelemen? How do you say it?,
236,מילא,122,alef-default,alef-final,alef-default,mˈila,MIla,mile | mila | milu | mil,"the א at the end: mile (…-e), mila (…-a), milu (…-u) — or silent (mil)?",
237,אלקינו,121,alef-default,alef-vowel,alef-default,ˈalkini,Alkini,Alkini | Ulkini,the unpointed א: Alkini (a as in 'father') or Ulkini (u as in 'put')? — or an o (o as in 'law')?,
238,געפונען,121,pe-default,pe-default,pe-default,ɡəfˈinən,geFInen,geFInen | gePInen,the פ: f (geFInen) or p (gePInen)?,
239,געשטארבן,121,alef-default,alef-vowel,alef-default,ɡəʃtˈarbn,geSHTArbn,geSHTArbn | geSHTUrbn,the unpointed א: geSHTArbn (a as in 'father') or geSHTUrbn (u as in 'put')? — or an o (o as in 'law')?,
240,חסידות,121,oov-lk,oov-lk,lk-fallback,xˈusidis,KHUsidis,KHUsidis | khusidis,our guess: KHUsidis — or khusidis? How do you say it?,
241,מכל,121,oov-lk,oov-lk,lk-fallback,mxl,mkhl,mkhl | mekhel,our guess: mkhl — or mekhel? How do you say it?,
242,טומאה,120,alef-default,alef-vowel,alef-default,tˈima,TIma,,"the unpointed א — a, u or o?",
243,מוצאי,120,alef-default,alef-vowel,alef-default,mˈiʦaː,MItsa,MItsa | MItsuy,the unpointed א: MItsa (a as in 'father') or MItsuy (u as in 'put')? — or an o (o as in 'law')?,
244,מרמז,120,oov-lk,oov-lk,lk-fallback,mrmz,mrmz,mrmz | meremez,our guess: mrmz — or meremez? How do you say it?,
245,נשמות,120,oov-lk,oov-lk,lk-fallback,nʃmis,nshmis,nshmis | neshemis,our guess: nshmis — or neshemis? How do you say it?,
246,פלא,119,alef-default,alef-final+pe-default,"alef-default,pe-default",fla,fla,fle | fla | flu | pla,"the א at the end: fle (…-e), fla (…-a), flu (…-u) — or silent (fla)? the פ: f (fla) or p (pla)?",
247,פלעצער,119,pe-default,pe-default,pe-default,flˈɛʦər,FLEtser,FLEtser | PLEtser,the פ: f (FLEtser) or p (PLEtser)?,
248,איידעם,118,alef-default,alef-silent,alef-default,ˈajdəm,AYdem,,we say **AYdem** — right?,
249,אלקיך,118,alef-default,alef-vowel,alef-default,ˈalkix,Alkikh,Alkikh | Ulkikh,the unpointed א: Alkikh (a as in 'father') or Ulkikh (u as in 'put')? — or an o (o as in 'law')?,
250,געפירט,118,pe-default,pe-default,pe-default,ɡəfˈirt,geFIrt,geFIrt | gePIrt,the פ: f (geFIrt) or p (gePIrt)?,
251,הא,118,alef-default,alef-final,alef-default,ha,ha,he | ha | hu,"the א at the end: he (…-e), ha (…-a), hu (…-u) — or silent (ha)?",
252,מא,118,alef-default,alef-final,alef-default,ma,ma,me | ma | mu,"the א at the end: me (…-e), ma (…-a), mu (…-u) — or silent (ma)?",
253,פינקט,118,pe-default,pe-default,pe-default,finkt,finkt,finkt | pinkt,the פ: f (finkt) or p (pinkt)?,
254,פלעגן,117,pe-default,pe-default,pe-default,flɛɡn,flegn,flegn | plegn,the פ: f (flegn) or p (plegn)?,
255,אלא,116,alef-default,alef-vowel+alef-final,alef-default,ˈala,Ala,Ala | Ula | ale | ala | alu | al,"the unpointed א: Ala (a as in 'father') or Ula (u as in 'put')? — or an o (o as in 'law')? the א at the end: ale (…-e), ala (…-a), alu (…-u) — or silent (al)?",
256,געהאלפן,116,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ɡəhˈalfn,geHAlfn,geHAlfn | geHUlfn | geHAlpn,the unpointed א: geHAlfn (a as in 'father') or geHUlfn (u as in 'put')? — or an o (o as in 'law')? the פ: f (geHAlfn) or p (geHAlpn)?,
257,זאלסטו,116,alef-default,alef-vowel,alef-default,zˈalsti,ZAlsti,ZAlsti | ZUlsti,the unpointed א: ZAlsti (a as in 'father') or ZUlsti (u as in 'put')? — or an o (o as in 'law')?,
258,טאנצן,116,alef-default,alef-vowel,alef-default,tanʦn,tantsn,tantsn | tuntsn,the unpointed א: tantsn (a as in 'father') or tuntsn (u as in 'put')? — or an o (o as in 'law')?,
259,פריערדיגע,116,pe-default,pe-default,pe-default,frˈiərdiɡə,FRIErdige,FRIErdige | PRIErdige,the פ: f (FRIErdige) or p (PRIErdige)?,
260,שאלות,115,oov-lk,alef-vowel+oov-lk,"alef-default,lk-fallback",ʃˈalis,SHAlis,SHAlis | SHUlis | shalis,the unpointed א: SHAlis (a as in 'father') or SHUlis (u as in 'put')? — or an o (o as in 'law')? our guess: SHAlis — or shalis? How do you say it?,
261,אלט,114,alef-default,alef-vowel,alef-default,alt,alt,alt | ult,the unpointed א: alt (a as in 'father') or ult (u as in 'put')? — or an o (o as in 'law')?,
262,אמור,114,alef-default,alef-vowel,alef-default,amˈir,aMIr,aMIr | uMIr,the unpointed א: aMIr (a as in 'father') or uMIr (u as in 'put')? — or an o (o as in 'law')?,
263,ארויסגיין,114,alef-default,alef-vowel,alef-default,arˈoʊzɡajn,aROUzgayn,aROUzgayn | Uroyzgayn,the unpointed א: aROUzgayn (a as in 'father') or Uroyzgayn (u as in 'put')? — or an o (o as in 'law')?,
264,פערד,114,pe-default,pe-default,pe-default,fɛrd,ferd,ferd | perd,the פ: f (ferd) or p (perd)?,
265,שלח,114,oov-lk,oov-lk,lk-fallback,ʃlx,shlkh,shlkh | shelekh,our guess: shlkh — or shelekh? How do you say it?,
266,געלאזט,113,alef-default,alef-vowel,alef-default,ɡəlˈazt,geLAzt,geLAzt | geLUzt,the unpointed א: geLAzt (a as in 'father') or geLUzt (u as in 'put')? — or an o (o as in 'law')?,
267,דאקטער,113,alef-default,alef-vowel,alef-default,dˈaktər,DAkter,DAkter | DUkter,the unpointed א: DAkter (a as in 'father') or DUkter (u as in 'put')? — or an o (o as in 'law')?,
268,קרח,113,oov-lk,oov-lk,lk-fallback,krx,krkh,krkh | kerekh,our guess: krkh — or kerekh? How do you say it?,
269,צוועלף,112,pe-default,pe-default,pe-default,ʦvɛlf,tsvelf,,the פ/ף — f or p?,
270,תהילים,112,oov-lk,oov-lk,lk-fallback,shˈilim,SHIlim,SHIlim | shilim,our guess: SHIlim — or shilim? How do you say it?,
271,פאלט,111,alef-default,alef-vowel+pe-default,"alef-default,pe-default",falt,falt,falt | fult | palt,the unpointed א: falt (a as in 'father') or fult (u as in 'put')? — or an o (o as in 'law')? the פ: f (falt) or p (palt)?,
272,כאפן,110,alef-default,alef-vowel+pe-default,"alef-default,pe-default",xafn,khafn,khafn | khufn | khapn,the unpointed א: khafn (a as in 'father') or khufn (u as in 'put')? — or an o (o as in 'law')? the פ: f (khafn) or p (khapn)?,
273,פאלק,110,alef-default,alef-vowel+pe-default,"alef-default,pe-default",falk,falk,falk | fulk | palk,the unpointed א: falk (a as in 'father') or fulk (u as in 'put')? — or an o (o as in 'law')? the פ: f (falk) or p (palk)?,
274,קאזשניצער,110,alef-default,alef-vowel,alef-default,kˈaʒniʦər,KAzhnitser,KAzhnitser | KUzhnitser,the unpointed א: KAzhnitser (a as in 'father') or KUzhnitser (u as in 'put')? — or an o (o as in 'law')?,
275,אינגל,109,alef-default,alef-silent,alef-default,inɡl,ingl,,we say **ingl** — right?,
276,אנכי,109,alef-default,alef-vowel,alef-default,ˈanxi,Ankhi,Ankhi | Unkhi,the unpointed א: Ankhi (a as in 'father') or Unkhi (u as in 'put')? — or an o (o as in 'law')?,
277,אריה,109,alef-default,alef-vowel,alef-default,ˈari,Ari,Ari | Uri,the unpointed א: Ari (a as in 'father') or Uri (u as in 'put')? — or an o (o as in 'law')?,
278,באצאלן,109,alef-default,alef-vowel,alef-default,baʦˈaln,baTSAln,baTSAln | BUtsuln,the unpointed א: baTSAln (a as in 'father') or BUtsuln (u as in 'put')? — or an o (o as in 'law')?,
279,תפילות,109,oov-lk,pe-default+oov-lk,"lk-fallback,pe-default",sfˈilis,SFIlis,SFIlis | SPIlis | sefilis,the פ: f (SFIlis) or p (SPIlis)? our guess: SFIlis — or sefilis? How do you say it?,
280,אריינגעגאנגען,108,alef-default,alef-vowel,alef-default,arˈaːnɡəɡanɡən,aRAngegangen,aRAngegangen | Urayngegungen,the unpointed א: aRAngegangen (a as in 'father') or Urayngegungen (u as in 'put')? — or an o (o as in 'law')?,
281,ויקרא,108,alef-default,alef-final,alef-default,ˈɔjkra,OYkra,oykre | oykra | oykru | oykr,"the א at the end: oykre (…-e), oykra (…-a), oykru (…-u) — or silent (oykr)?",
282,חידושים,108,oov-lk,oov-lk,lk-fallback,xˈidiʃim,KHIdishim,KHIdishim | khidishim,our guess: KHIdishim — or khidishim? How do you say it?,
283,לפני,108,pe-default,pe-default,pe-default,lfni,lfni,lfni | lpni,the פ: f (lfni) or p (lpni)?,
284,פאטער,108,alef-default,alef-vowel+pe-default,"alef-default,pe-default",fˈatər,FAter,FAter | FUter | PAter,the unpointed א: FAter (a as in 'father') or FUter (u as in 'put')? — or an o (o as in 'law')? the פ: f (FAter) or p (PAter)?,
285,פארלוירן,108,alef-default,alef-vowel+pe-default,"alef-default,pe-default",farlˈɔjrn,faRLOYrn,faRLOYrn | FUrloyrn | PArloyrn,the unpointed א: faRLOYrn (a as in 'father') or FUrloyrn (u as in 'put')? — or an o (o as in 'law')? the פ: f (faRLOYrn) or p (PArloyrn)?,
286,דערמאנט,107,alef-default,alef-vowel,alef-default,dərmˈant,deRMAnt,deRMAnt | deRMUnt,the unpointed א: deRMAnt (a as in 'father') or deRMUnt (u as in 'put')? — or an o (o as in 'law')?,
287,מאטעלע,107,alef-default,alef-vowel,alef-default,mˈatələ,MAtele,MAtele | MUtele,the unpointed א: MAtele (a as in 'father') or MUtele (u as in 'put')? — or an o (o as in 'law')?,
288,פשוטער,107,pe-default,pe-default,pe-default,fʃˈitər,FSHIter,FSHIter | PSHIter,the פ: f (FSHIter) or p (PSHIter)?,
289,אויג,106,alef-default,alef-silent,alef-default,ɔjɡ,oyg,,we say **oyg** — right?,
290,השבת,106,oov-lk,oov-lk,lk-fallback,hʃˈabəs,HSHAbes,HSHAbes | heshabes,our guess: HSHAbes — or heshabes? How do you say it?,
291,טרעפט,106,pe-default,pe-default,pe-default,trɛft,treft,treft | trept,the פ: f (treft) or p (trept)?,
292,סוגיא,106,alef-default,alef-final,alef-default,sˈiɡia,SIgia,SIgie | SIgia | SIgiu | SIgi,"the א at the end: SIgie (…-e), SIgia (…-a), SIgiu (…-u) — or silent (SIgi)?",
293,פאם,106,alef-default,alef-vowel+pe-default,"alef-default,pe-default",fam,fam,fam | fum | pam,the unpointed א: fam (a as in 'father') or fum (u as in 'put')? — or an o (o as in 'law')? the פ: f (fam) or p (pam)?,
294,אנדערן,105,alef-default,alef-vowel,alef-default,ˈandərn,Andern,Andern | Undern,the unpointed א: Andern (a as in 'father') or Undern (u as in 'put')? — or an o (o as in 'law')?,
295,ספירה,105,pe-default,pe-default,pe-default,sfˈirə,SFIre,SFIre | SPIre,the פ: f (SFIre) or p (SPIre)?,
296,אכטונג,104,alef-default,alef-vowel,alef-default,ˈaxtinɡ,Akhting,Akhting | Ukhting,the unpointed א: Akhting (a as in 'father') or Ukhting (u as in 'put')? — or an o (o as in 'law')?,
297,אפרים,104,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ˈafrim,Afrim,Afrim | Ufrim | Aprim,the unpointed א: Afrim (a as in 'father') or Ufrim (u as in 'put')? — or an o (o as in 'law')? the פ: f (Afrim) or p (Aprim)?,
298,געשמאק,104,alef-default,alef-vowel,alef-default,ɡəʃmˈak,geSHMAk,geSHMAk | geSHMUk,the unpointed א: geSHMAk (a as in 'father') or geSHMUk (u as in 'put')? — or an o (o as in 'law')?,
299,דאנערשטאג,104,alef-default,alef-vowel,alef-default,dˈanərʃtaɡ,DAnershtag,DAnershtag | DUnershtug,the unpointed א: DAnershtag (a as in 'father') or DUnershtug (u as in 'put')? — or an o (o as in 'law')?,
300,פני,104,pe-default,pe-default,pe-default,fni,fni,fni | pni,the פ: f (fni) or p (pni)?,
301,געדאווענט,103,alef-default,alef-vowel,alef-default,ɡədavˈɛnt,gedaVEnt,gedaVEnt | geduVEnt,the unpointed א: gedaVEnt (a as in 'father') or geduVEnt (u as in 'put')? — or an o (o as in 'law')?,
302,פא,103,alef-default,alef-final+pe-default,"alef-default,pe-default",fa,fa,fe | fa | fu | pa,"the א at the end: fe (…-e), fa (…-a), fu (…-u) — or silent (fa)? the פ: f (fa) or p (pa)?",
303,אייזל,102,alef-default,alef-silent,alef-default,ajzl,ayzl,,we say **ayzl** — right?,
304,אפטער,102,alef-default,alef-vowel+pe-default,"alef-default,pe-default",ˈaftər,After,After | Ufter | Apter,the unpointed א: After (a as in 'father') or Ufter (u as in 'put')? — or an o (o as in 'law')? the פ: f (After) or p (Apter)?,
305,דאווענט,102,alef-default,alef-vowel,alef-default,davˈɛnt,daVEnt,daVEnt | duVEnt,the unpointed א: daVEnt (a as in 'father') or duVEnt (u as in 'put')? — or an o (o as in 'law')?,
306,דאנקען,102,alef-default,alef-vowel,alef-default,dˈankən,DAnken,DAnken | DUnken,the unpointed א: DAnken (a as in 'father') or DUnken (u as in 'put')? — or an o (o as in 'law')?,
307,הילף,102,pe-default,pe-default,pe-default,hilf,hilf,,the פ/ף — f or p?,
308,משפיע,102,pe-default,pe-default,pe-default,mʃpˈiə,MSHPIE,MSHFIE | MSHPIE,the פ: f (MSHFIE) or p (MSHPIE)?,
309,אך,101,alef-default,alef-vowel,alef-default,ax,akh,akh | ukh,the unpointed א: akh (a as in 'father') or ukh (u as in 'put')? — or an o (o as in 'law')?,
310,אצינד,101,alef-default,alef-vowel,alef-default,aʦˈind,aTSInd,aTSInd | Utsind,the unpointed א: aTSInd (a as in 'father') or Utsind (u as in 'put')? — or an o (o as in 'law')?,
311,גאסט,101,alef-default,alef-vowel,alef-default,ɡast,gast,gast | gust,the unpointed א: gast (a as in 'father') or gust (u as in 'put')? — or an o (o as in 'law')?,
312,דערמאנען,101,alef-default,alef-vowel,alef-default,dərmˈanən,deRMAnen,deRMAnen | deRMUnen,the unpointed א: deRMAnen (a as in 'father') or deRMUnen (u as in 'put')? — or an o (o as in 'law')?,
